Latest_Cracking_ratio,Latest_Rutting_max,Latest_Condition_Year,Section_Length,Pavement_Width,Latest_Pavement_type,Road_Category_ID,Road_Class_ID,TV_Total,TV_Heavy,Region,Route_ID,det_no_c,det_no_r
0,11,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,24,2012,100,7.02,1,1,3,6013.5,1560,1,101001000,2,2
0,17,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.94,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,6.94,1,1,3,6013.5,1560,1,101001000,2,2
2,11,2012,100,7.02,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,6.92,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.7,1,1,3,6013.5,1560,1,101001000,2,2
6.4,7,2012,100,6.06,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,75,6.618666667,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.56,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.04,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
3.5,10,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,95,7.218947368,1,1,3,6013.5,1560,1,101001000,2,2
2.6,9,2012,100,6.76,1,1,3,6013.5,1560,1,101001000,2,2
1.6,12,2012,100,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.92,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,15,2012,100,6.88,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.56,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.58,1,1,3,6013.5,1560,1,101001000,2,2
0.6,10,2012,100,6.78,1,1,3,6013.5,1560,1,101001000,2,2
0,7,2012,5,6.48,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.64,1,1,3,6013.5,1560,1,101001000,2,2
0.6,10,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.78,1,1,3,6013.5,1560,1,101001000,2,2
3.7,17,2012,100,6.66,1,1,3,6013.5,1560,1,101001000,2,2
1.5,13,2012,100,7.12,1,1,3,6013.5,1560,1,101001000,2,2
2,14,2012,100,7.04,1,1,3,6013.5,1560,1,101001000,2,2
1.6,9,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0.7,8,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0.8,8,2012,100,7.08,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.34,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,5,7.4,1,1,3,6013.5,1560,1,101001000,2,2
4,11,2012,100,7.12,1,1,3,6013.5,1560,1,101001000,2,2
10.7,13,2012,100,6.92,1,1,3,6013.5,1560,1,101001000,2,2
0.9,11,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,7.38,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.92,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,6.96,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.96,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,5,6.48,1,1,3,6013.5,1560,1,101001000,2,2
0,18,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,18,2012,100,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,7.04,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,7.26,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,7.54,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.12,1,1,3,6013.5,1560,1,101001000,2,2
